,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,71,16,42,13978.8545,14150.0,12151.330500000038,0.012243170568804418,2021-11-30,2022-01-07,38 days
1,73,50,74,13697.4685,13090.0,-44345.200500000064,-0.044348961269741305,2022-01-20,2022-02-25,36 days
2,76,81,101,12677.44425,14475.0,136614.23699999996,0.1417916509473114,2022-03-08,2022-04-06,29 days
3,81,122,142,13601.99825,14220.0,50058.14174999995,0.045434629430274986,2022-05-11,2022-06-08,28 days
4,85,147,175,13466.33,13825.0,30486.950000000004,0.026634576755508066,2022-06-15,2022-07-26,41 days
5,86,217,242,13662.295250000001,14345.0,58712.608499999915,0.04996998948621023,2022-09-27,2022-11-02,36 days
