2022-01-07 16:00:00,4816424,4878888,4710065,4787876,537.50826112
2022-01-07 18:00:00,4785780,4894282,4741768,4864558,380.56946038
2022-01-07 20:00:00,4859994,4863314,4800423,4832603,121.23381545
2022-01-07 22:00:00,4835354,4863456,4813685,4843439,126.70925561
2022-01-08 00:00:00,4843439,4845068,4780002,4807016,136.20342755
2022-01-08 02:00:00,4807060,4897775,4807060,4849510,248.92202745
2022-01-08 04:00:00,4849510,4852106,4823288,4841939,101.69837508
2022-01-08 06:00:00,4841939,4861635,4836207,4855590,136.10965191
2022-01-08 08:00:00,4856818,4860944,4833434,4852385,145.22290419
2022-01-08 10:00:00,4852385,4884999,4851721,4884999,181.33844967
2022-01-08 12:00:00,4883622,4887999,4837866,4858656,123.12127169
2022-01-08 14:00:00,4857324,4870735,4822962,4853499,163.32268096
2022-01-08 16:00:00,4851990,4864000,4800000,4814377,223.38229904
2022-01-08 18:00:00,4814377,4830000,4724090,4729999,399.07357711
2022-01-08 20:00:00,4727924,4781000,4700832,4725168,439.24875454
2022-01-08 22:00:00,4723359,4863977,4714137,4835210,264.18161983
2022-01-09 00:00:00,4834540,4892377,4820237,4823412,178.39570702
2022-01-09 02:00:00,4824811,4846693,4790000,4838020,187.14109384
2022-01-09 04:00:00,4838020,4877164,4832959,4841627,198.12001137
2022-01-09 06:00:00,4841627,4869129,4827336,4832105,160.84399996
2022-01-09 08:00:00,4832636,4855819,4824058,4841112,146.81066727
2022-01-09 10:00:00,4841112,4856000,4803388,4808534,175.46487942
2022-01-09 12:00:00,4808183,4862274,4791566,4845110,147.0333082
2022-01-09 14:00:00,4845110,4851200,4805800,4806781,116.03014323
2022-01-09 16:00:00,4805800,4830171,4772503,4817792,215.30327076
2022-01-09 18:00:00,4818647,4882370,4812738,4868058,214.72832555
2022-01-09 20:00:00,4866543,4943198,4849000,4939244,183.81620187
2022-01-09 22:00:00,4937748,4947009,4893015,4893490,117.96869043
2022-01-10 00:00:00,4894110,4914686,4834505,4846779,138.06196674
2022-01-10 02:00:00,4846779,4868305,4810405,4842438,249.99202382
2022-01-10 04:00:00,4843560,4868641,4834392,4867624,106.96497412
2022-01-10 06:00:00,4865671,4895204,4860512,4871770,162.39948305
2022-01-10 08:00:00,4874174,4883825,4848879,4872687,164.90250861
2022-01-10 10:00:00,4872687,4879222,4827834,4846061,196.5205248
2022-01-10 12:00:00,4844892,4860858,4790000,4798502,281.43246599
2022-01-10 14:00:00,4800694,4804924,4701002,4714000,419.25955917
2022-01-10 16:00:00,4713114,4760001,4580000,4725468,909.20433517
2022-01-10 18:00:00,4723520,4852833,4671097,4745654,570.50837403
2022-01-10 20:00:00,4750453,4810024,4738835,4760537,230.81475487
2022-01-10 22:00:00,4761333,4840391,4746651,4806303,275.20061319
2022-01-11 00:00:00,4810000,4831264,4784457,4824475,161.80570753
2022-01-11 02:00:00,4823382,4852000,4793047,4836929,183.99016853
2022-01-11 04:00:00,4838333,4892026,4828008,4882431,242.58316584
2022-01-11 06:00:00,4882000,4890000,4849810,4860428,260.88637998
2022-01-11 08:00:00,4862150,4880305,4847405,4872377,178.74354645
2022-01-11 10:00:00,4872750,4912938,4837416,4852492,273.62915378
2022-01-11 12:00:00,4852492,4859178,4808138,4835552,227.39872094
2022-01-11 14:00:00,4835191,4849458,4816523,4827879,170.45810198
2022-01-11 16:00:00,4826410,4875000,4780000,4824685,414.3819601
2022-01-11 18:00:00,4824686,4980000,4817981,4916906,446.89128026
2022-01-11 20:00:00,4916994,4978694,4894330,4962228,149.05534015
2022-01-11 22:00:00,4965391,4976000,4921281,4925540,98.15488689
2022-01-12 00:00:00,4925540,4950000,4920000,4933686,82.50785673
2022-01-12 02:00:00,4933686,4961129,4913588,4922337,172.63659929
2022-01-12 04:00:00,4922337,4930949,4901228,4924319,108.31952257
2022-01-12 06:00:00,4924320,4940725,4915150,4936147,199.43697597
2022-01-12 08:00:00,4936399,4949891,4907506,4922646,193.12312402
2022-01-12 10:00:00,4921592,4955000,4915988,4944867,164.76740085
2022-01-12 12:00:00,4944867,5016802,4936000,4964270,273.38672512
2022-01-12 14:00:00,4962170,5083108,4955691,5069882,489.19682757
2022-01-12 16:00:00,5071925,5074993,4993343,5010177,340.21833103
2022-01-12 18:00:00,5010424,5026993,4980678,5024174,136.60060696
2022-01-12 20:00:00,5024200,5032579,4991861,5011111,151.99238717
2022-01-12 22:00:00,5011154,5075471,5002740,5023079,144.25613226
