Date,High,Low,Open,Close
1965-01-05,116339.09729003906,116339.09729003906,116339.09729003906,116339.09729003906
1965-01-06,116919.07409667969,116919.07409667969,116919.07409667969,116919.07409667969
1965-01-07,117869.97680664062,117869.97680664062,117869.97680664062,117869.97680664062
1965-01-08,118994.77996826172,118994.77996826172,118994.77996826172,118994.77996826172
1965-01-12,119189.95361328125,119189.95361328125,119189.95361328125,119189.95361328125
1965-01-13,118554.4790649414,118554.4790649414,118554.4790649414,118554.4790649414
1965-01-14,119278.75,119278.75,119278.75,119278.75
1965-01-18,117630.40496826172,117630.40496826172,117630.40496826172,117630.40496826172
1965-01-19,117506.4468383789,117506.4468383789,117506.4468383789,117506.4468383789
1965-01-20,117371.40045166016,117371.40045166016,117371.40045166016,117371.40045166016
1965-01-21,117517.54638671875,117517.54638671875,117517.54638671875,117517.54638671875
1965-01-22,116719.2709350586,116719.2709350586,116719.2709350586,116719.2709350586
1965-01-25,115599.09729003906,115599.09729003906,115599.09729003906,115599.09729003906
1965-01-26,115444.62951660156,115444.62951660156,115444.62951660156,115444.62951660156
1965-01-27,116384.42138671875,116384.42138671875,116384.42138671875,116384.42138671875
1965-01-28,115365.99548339844,115365.99548339844,115365.99548339844,115365.99548339844
1965-01-29,114909.97680664062,114909.97680664062,114909.97680664062,114909.97680664062
1965-02-01,114961.7709350586,114961.7709350586,114961.7709350586,114961.7709350586
1965-02-02,114584.375,114584.375,114584.375,114584.375
1965-02-03,115442.77770996094,115442.77770996094,115442.77770996094,115442.77770996094
1965-02-04,116697.99774169922,116697.99774169922,116697.99774169922,116697.99774169922
1965-02-05,116882.0718383789,116882.0718383789,116882.0718383789,116882.0718383789
1965-02-08,116451.02996826172,116451.02996826172,116451.02996826172,116451.02996826172
1965-02-09,115780.40496826172,115780.40496826172,115780.40496826172,115780.40496826172
1965-02-10,115496.42364501953,115496.42364501953,115496.42364501953,115496.42364501953
1965-02-12,116359.44458007812,116359.44458007812,116359.44458007812,116359.44458007812
1965-02-15,115578.75,115578.75,115578.75,115578.75
1965-02-16,115348.42590332031,115348.42590332031,115348.42590332031,115348.42590332031
