日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20220729,3299,ムゲンエステート,プライム（内国株式）,8050,不動産業,17,不動産 ,7,TOPIX Small 2
20220729,3302,帝国繊維,プライム（内国株式）,3100,繊維製品,4,素材・化学 ,7,TOPIX Small 2
20220729,3315,日本コークス工業,プライム（内国株式）,3300,石油・石炭製品,2,エネルギー資源 ,7,TOPIX Small 2
20220729,3319,ゴルフダイジェスト・オンライン,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220729,3328,ＢＥＥＮＯＳ,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220729,3333,あさひ,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220729,3341,日本調剤,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220729,3349,コスモス薬品,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
20220729,3360,シップヘルスケアホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,4,TOPIX Mid400
20220729,3371,ソフトクリエイトホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20220729,3382,セブン＆アイ・ホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,1,TOPIX Core30
20220729,3387,クリエイト・レストランツ・ホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220729,3388,明治電機工業,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
20220729,3391,ツルハホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
20220729,3393,スターティアホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
20220729,3395,サンマルクホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220729,3397,トリドールホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220729,3401,帝人,プライム（内国株式）,3100,繊維製品,4,素材・化学 ,4,TOPIX Mid400
20220729,3402,東レ,プライム（内国株式）,3100,繊維製品,4,素材・化学 ,2,TOPIX Large70
20220729,3405,クラレ,プライム（内国株式）,3200,化学,4,素材・化学 ,4,TOPIX Mid400
20220729,3407,旭化成,プライム（内国株式）,3200,化学,4,素材・化学 ,2,TOPIX Large70
20220729,3415,ＴＯＫＹＯ　ＢＡＳＥ,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220729,3431,宮地エンジニアリンググループ,プライム（内国株式）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
20220729,3433,トーカロ,プライム（内国株式）,3550,金属製品,3,建設・資材 ,6,TOPIX Small 1
20220729,3436,ＳＵＭＣＯ,プライム（内国株式）,3550,金属製品,3,建設・資材 ,4,TOPIX Mid400
20220729,3443,川田テクノロジーズ,プライム（内国株式）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
20220729,3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,プライム（内国株式）,3550,金属製品,3,建設・資材 ,6,TOPIX Small 1
20220729,3446,ジェイテックコーポレーション,プライム（内国株式）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
