Date,High,Low,Open,Close,Volume,Adj Close,sma01_5,sma02_25,sma03_50
2020-01-06,23365.359375,23148.529296875,23319.759765625,23204.859375,72800000,23204.859375,,,
2020-01-07,23577.439453125,23299.919921875,23320.119140625,23575.720703125,64300000,23575.720703125,,,
2020-01-08,23303.2109375,22951.1796875,23217.490234375,23204.759765625,79400000,23204.759765625,,,
2020-01-09,23767.08984375,23506.150390625,23530.2890625,23739.869140625,62200000,23739.869140625,,,
2020-01-10,23903.2890625,23761.080078125,23813.279296875,23850.5703125,55900000,23850.5703125,23515.155859375,,
2020-01-14,24059.859375,23951.66015625,23969.0390625,24025.169921875,64200000,24025.169921875,23679.21796875,,
2020-01-15,23997.390625,23875.8203125,23923.48046875,23916.580078125,57200000,23916.580078125,23747.38984375,,
2020-01-16,23975.380859375,23905.380859375,23960.19921875,23933.130859375,55400000,23933.130859375,23893.0640625,,
2020-01-17,24115.94921875,24013.75,24103.44921875,24041.259765625,59400000,24041.259765625,23953.3421875,,
2020-01-20,24108.109375,24061.669921875,24080.6796875,24083.509765625,38300000,24083.509765625,23999.930078125,,
2020-01-21,24081.75,23843.48046875,24072.810546875,23864.560546875,44600000,23864.560546875,23967.808203125,,
2020-01-22,24040.869140625,23831.099609375,23835.490234375,24031.349609375,49000000,24031.349609375,23990.762109375,,
2020-01-23,23910.009765625,23779.23046875,23843.509765625,23795.439453125,55500000,23795.439453125,23963.223828125,,
2020-01-24,23869.380859375,23755.3203125,23850.119140625,23827.1796875,48700000,23827.1796875,23920.4078125,,
2020-01-27,23463.890625,23317.3203125,23427.900390625,23343.509765625,62400000,23343.509765625,23772.4078125,,
2020-01-28,23243.359375,23115.150390625,23126.9296875,23215.7109375,64400000,23215.7109375,23642.637890625,,
2020-01-29,23392.609375,23214.279296875,23309.3203125,23379.400390625,54900000,23379.400390625,23512.248046875,,
2020-01-30,23318.5703125,22892.94921875,23284.580078125,22977.75,69600000,22977.75,23348.71015625,,
2020-01-31,23421.58984375,23139.98046875,23148.919921875,23205.1796875,75400000,23205.1796875,23224.31015625,,
2020-02-03,23023.73046875,22775.919921875,22874.26953125,22971.939453125,72500000,22971.939453125,23149.99609375,,
2020-02-04,23118.130859375,22854.44921875,22881.130859375,23084.58984375,67900000,23084.58984375,23123.771875,,
2020-02-05,23414.689453125,23241.640625,23351.470703125,23319.560546875,70300000,23319.560546875,23111.80390625,,
2020-02-06,23995.369140625,23625.130859375,23641.099609375,23873.58984375,95100000,23873.58984375,23290.971875,,
2020-02-07,23943.44921875,23759.419921875,23899.009765625,23827.98046875,65400000,23827.98046875,23415.53203125,,
2020-02-10,23788.25,23621.720703125,23631.7890625,23685.98046875,56500000,23685.98046875,23558.340234375,23599.166015625,
2020-02-12,23869.73046875,23693.720703125,23741.2109375,23861.2109375,74600000,23861.2109375,23713.664453125,23625.420078125,
2020-02-13,23908.849609375,23784.310546875,23849.759765625,23827.73046875,64500000,23827.73046875,23815.2984375,23635.50046875,
2020-02-14,23738.419921875,23603.48046875,23714.51953125,23687.58984375,69100000,23687.58984375,23778.0984375,23654.813671875,
2020-02-17,23561.98046875,23335.990234375,23489.779296875,23523.240234375,54000000,23523.240234375,23717.150390625,23646.148515625,
2020-02-18,23402.009765625,23133.599609375,23398.5703125,23193.80078125,59500000,23193.80078125,23618.714453125,23619.877734375,
2020-02-19,23468.560546875,23234.9609375,23329.330078125,23400.69921875,61600000,23400.69921875,23526.612109375,23594.89890625,
2020-02-20,23806.560546875,23426.419921875,23666.580078125,23479.150390625,63300000,23479.150390625,23456.89609375,23577.40171875,
2020-02-21,23588.55078125,23378.330078125,23427.76953125,23386.740234375,62100000,23386.740234375,23396.726171875,23555.54609375,
2020-02-25,22950.23046875,22335.2109375,22949.369140625,22605.41015625,105800000,22605.41015625,23213.16015625,23498.112109375,
2020-02-26,22456.55078125,22127.419921875,22374.140625,22426.189453125,99300000,22426.189453125,23059.637890625,23431.819296875,
2020-02-27,22272.259765625,21844.2890625,22255.830078125,21948.23046875,106200000,21948.23046875,22769.144140625,23355.16609375,
2020-02-28,21528.130859375,20916.400390625,21518.009765625,21142.9609375,148500000,21142.9609375,22301.90625,23239.630546875,
2020-03-02,21593.109375,20834.2890625,20849.7890625,21344.080078125,123700000,21344.080078125,21893.37421875,23141.576171875,
2020-03-03,21719.779296875,21082.73046875,21651.990234375,21082.73046875,105300000,21082.73046875,21588.83828125,23031.798203125,
2020-03-04,21245.9296875,20862.05078125,20897.19921875,21100.060546875,94600000,21100.060546875,21323.6125,22942.060234375,
2020-03-05,21399.869140625,21220.759765625,21399.869140625,21329.119140625,85700000,21329.119140625,21199.790234375,22866.5965625,
2020-03-06,21061.19921875,20613.91015625,21009.80078125,20749.75,111700000,20749.75,21121.148046875,22761.410546875,
2020-03-09,20347.189453125,19472.259765625,20343.310546875,19698.759765625,170300000,19698.759765625,20792.083984375,22630.2509375,
2020-03-10,19970.349609375,18891.76953125,19474.890625,19867.119140625,164700000,19867.119140625,20548.96171875,22496.728515625,
2020-03-11,19974.830078125,19392.25,19758.259765625,19416.060546875,129200000,19416.060546875,20212.16171875,22354.493359375,
2020-03-12,19142.1796875,18339.26953125,19064.509765625,18559.630859375,164600000,18559.630859375,19658.2640625,22173.495,
2020-03-13,18184.4609375,16690.599609375,18183.470703125,17431.05078125,233400000,17431.05078125,18994.52421875,21937.954609375,
2020-03-16,17785.759765625,16914.44921875,17586.080078125,17002.0390625,158100000,17002.0390625,18455.180078125,21663.092578125,
2020-03-17,17557.0390625,16378.9404296875,16726.94921875,17011.529296875,198800000,17011.529296875,17884.062109375,21390.43453125,
2020-03-18,17396.83984375,16698.4609375,17154.080078125,16726.55078125,177200000,16726.55078125,17346.16015625,21112.05734375,22355.6116796875
2020-03-19,17160.970703125,16358.1904296875,16995.76953125,16552.830078125,198900000,16552.830078125,16944.8,20819.722109375,22222.57109375
2020-03-23,17049.029296875,16480.94921875,16570.5703125,16887.779296875,170300000,16887.779296875,16836.145703125,20542.1240625,22088.812265625
2020-03-24,18100.390625,17197.140625,17206.880859375,18092.349609375,147300000,18092.349609375,17054.2078125,20318.314453125,21986.5640625
2020-03-25,19564.380859375,18446.80078125,18446.80078125,19546.630859375,147700000,19546.630859375,17561.228125,20159.250078125,21902.699296875
2020-03-26,19240.2890625,18512.810546875,19234.76953125,18664.599609375,128100000,18664.599609375,17948.837890625,19978.08203125,21798.9798828125
2020-03-27,19389.4296875,18832.2109375,19021.970703125,19389.4296875,148900000,19389.4296875,18516.1578125,19817.63125,21706.265078125
2020-03-30,19084.970703125,18578.19921875,18884.0703125,19084.970703125,121000000,19084.970703125,18955.59609375,19641.8640625,21609.632890625
2020-03-31,19336.189453125,18834.16015625,19181.900390625,18917.009765625,122200000,18917.009765625,19120.528125,19463.07484375,21509.31046875
2020-04-01,18784.25,17871.619140625,18686.119140625,18065.41015625,105800000,18065.41015625,18824.283984375,19281.47484375,21389.7934765625
2020-04-02,18132.0390625,17707.66015625,17934.419921875,17818.720703125,107300000,17818.720703125,18655.108203125,19097.17609375,21264.4976953125
2020-04-03,18059.150390625,17646.5,17951.439453125,17820.189453125,96000000,17820.189453125,18341.26015625,18932.054453125,21143.6102734375
2020-04-06,18672.259765625,17802.619140625,17857.990234375,18576.30078125,105700000,18576.30078125,18239.526171875,18829.388046875,21034.509296875
2020-04-07,19162.51953125,18553.140625,18878.859375,18950.1796875,108200000,18950.1796875,18246.16015625,18733.63203125,20937.6041015625
2020-04-08,19454.33984375,18730.80078125,19047.759765625,19353.240234375,105900000,19353.240234375,18503.726171875,18664.452421875,20848.1253125
2020-04-09,19406.9609375,19158.55078125,19376.0,19345.76953125,82300000,19345.76953125,18809.1359375,18594.28078125,20768.1705078125
2020-04-10,19500.0703125,19235.9609375,19500.0703125,19498.5,87500000,19498.5,19144.798046875,18521.056015625,20693.8262890625
2020-04-13,19355.0390625,19014.3203125,19312.0390625,19043.400390625,65600000,19043.400390625,19238.21796875,18452.80203125,20607.1062890625
2020-04-14,19705.990234375,19093.119140625,19150.30078125,19638.810546875,81900000,19638.810546875,19375.944140625,18450.4040625,20540.3275
2020-04-15,19660.6796875,19465.94921875,19589.25,19550.08984375,94100000,19550.08984375,19415.3140625,18437.722890625,20467.225703125
2020-04-16,19362.169921875,19154.41015625,19311.30078125,19290.19921875,81400000,19290.19921875,19404.2,18432.6884375,20393.5908984375
2020-04-17,19922.0703125,19554.69921875,19575.849609375,19897.259765625,87800000,19897.259765625,19483.951953125,18486.19359375,20329.844296875
2020-04-20,19784.380859375,19611.7890625,19689.849609375,19669.119140625,65000000,19669.119140625,19609.095703125,18575.716328125,20256.83546875
2020-04-21,19529.060546875,19193.220703125,19479.830078125,19280.779296875,79400000,19280.779296875,19537.489453125,18666.8659375,20164.9792578125
