日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20220729,6466,ＴＶＥ,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
20220729,6467,ニチダイ,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
20220729,6469,放電精密加工研究所,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
20220729,6484,ＫＶＫ,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
20220729,6488,ヨシタケ,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
20220729,6489,前澤工業,スタンダード（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
20220729,6492,岡野バルブ製造,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
20220729,6493,ＮＩＴＴＡＮ,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機 ,-,-
20220729,6494,ＮＦＫホールディングス,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
20220729,6495,宮入バルブ製作所,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
20220729,6496,中北製作所,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
20220729,6497,ハマイ,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
20220729,6505,東洋電機製造,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6513,オリジン,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6518,三相電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6524,湖北工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6540,船場,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20220729,6542,ＦＣホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,6543,日宣,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,6546,フルテック,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20220729,6547,グリーンズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20220729,6549,ディーエムソリューションズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,6551,ツナググループ・ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20220729,6552,ＧａｍｅＷｉｔｈ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20220729,6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20220729,6565,ＡＢホテル,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,6566,要興業,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,6570,共和コーポレーション,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,6578,エヌリンクス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,6599,エブレン,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6614,シキノハイテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6625,ＪＡＬＣＯホールディングス,スタンダード（内国株式）,8050,不動産業,17,不動産 ,-,-
20220729,6626,ＳＥＭＩＴＥＣ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6627,テラプローブ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6629,テクノホライゾン,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6633,Ｃ＆Ｇシステムズ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6634,ネクスグループ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6635,大日光・エンジニアリング,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6637,寺崎電気産業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6643,戸上電機製作所,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6647,森尾電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6648,かわでん,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6654,不二電機工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6656,インスペック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6658,シライ電子工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6659,メディアリンクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6662,ユビテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6663,太洋工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6664,オプトエレクトロニクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6666,リバーエレテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6668,アドテック　プラズマ　テクノロジー,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6670,ＭＣＪ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6677,エスケーエレクトロニクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6694,ズーム,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6698,ヴィスコ・テクノロジーズ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6715,ナカヨ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6721,ウインテスト,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6730,アクセル,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6731,ピクセラ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6734,ニューテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6736,サン電子,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6743,大同信号,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6748,星和電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6757,ＯＳＧコーポレーション,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6769,ザインエレクトロニクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
